Indicator,Name,ORGID ,FACID ,Cohort,Fiscal Year,Value
Non-Operating Revenue,"Morton Hospital, A Steward Family Hospital",99,2022,Community High Public Payer Hospital,FY14,10769
Non-Operating Revenue,"Morton Hospital, A Steward Family Hospital",99,2022,Community High Public Payer Hospital,FY15,42500
Non-Operating Revenue,"Morton Hospital, A Steward Family Hospital",99,2022,Community High Public Payer Hospital,FY16,184931
Non-Operating Revenue,"Morton Hospital, A Steward Family Hospital",99,2022,Community High Public Payer Hospital,FY17,5500
Non-Operating Revenue,"Morton Hospital, A Steward Family Hospital",99,2022,Community High Public Payer Hospital,FY18,347728
Non-Operating Revenue,Mount Auburn Hospital,100,2071,Teaching Hospital,FY14,12191000
Non-Operating Revenue,Mount Auburn Hospital,100,2071,Teaching Hospital,FY15,212000
Non-Operating Revenue,Mount Auburn Hospital,100,2071,Teaching Hospital,FY16,10275000
Non-Operating Revenue,Mount Auburn Hospital,100,2071,Teaching Hospital,FY17,12253000
Non-Operating Revenue,Mount Auburn Hospital,100,2071,Teaching Hospital,FY18,8742000
Non-Operating Revenue,Nantucket Cottage Hospital,101,2044,Community Hospital,FY14,3216000
Non-Operating Revenue,Nantucket Cottage Hospital,101,2044,Community Hospital,FY15,3561000
Non-Operating Revenue,Nantucket Cottage Hospital,101,2044,Community Hospital,FY16,2568000
Non-Operating Revenue,Nantucket Cottage Hospital,101,2044,Community Hospital,FY17,2601000
Non-Operating Revenue,Nantucket Cottage Hospital,101,2044,Community Hospital,FY18,4021000
Non-Operating Revenue,"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,FY14,0
Non-Operating Revenue,"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,FY15,0
Non-Operating Revenue,"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,FY16,-1596
Non-Operating Revenue,"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,FY17,1400
Non-Operating Revenue,"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,FY18,879245
Non-Operating Revenue,New England Baptist Hospital,103,2059,Specialty Hospital,FY14,5190740
Non-Operating Revenue,New England Baptist Hospital,103,2059,Specialty Hospital,FY15,2532156
Non-Operating Revenue,New England Baptist Hospital,103,2059,Specialty Hospital,FY16,2743670.46
Non-Operating Revenue,New England Baptist Hospital,103,2059,Specialty Hospital,FY17,5183117
Non-Operating Revenue,New England Baptist Hospital,103,2059,Specialty Hospital,FY18,4213000
Non-Operating Revenue,Newton-Wellesley Hospital,105,2075,Community Hospital,FY14,-432000
Non-Operating Revenue,Newton-Wellesley Hospital,105,2075,Community Hospital,FY15,-2778000
Non-Operating Revenue,Newton-Wellesley Hospital,105,2075,Community Hospital,FY16,-1594000
Non-Operating Revenue,Newton-Wellesley Hospital,105,2075,Community Hospital,FY17,2770000
Non-Operating Revenue,Newton-Wellesley Hospital,105,2075,Community Hospital,FY18,-12255000
Non-Operating Revenue,North Shore Medical Center,345,2073,Community High Public Payer Hospital,FY14,-665000
Non-Operating Revenue,North Shore Medical Center,345,2073,Community High Public Payer Hospital,FY15,-744000
Non-Operating Revenue,North Shore Medical Center,345,2073,Community High Public Payer Hospital,FY16,737000
Non-Operating Revenue,North Shore Medical Center,345,2073,Community High Public Payer Hospital,FY17,236000
Non-Operating Revenue,North Shore Medical Center,345,2073,Community High Public Payer Hospital,FY18,367000
Non-Operating Revenue,Northeast Hospital,3112,2007,Community High Public Payer Hospital,FY14,3474000
Non-Operating Revenue,Northeast Hospital,3112,2007,Community High Public Payer Hospital,FY15,5241375
Non-Operating Revenue,Northeast Hospital,3112,2007,Community High Public Payer Hospital,FY16,9408330
Non-Operating Revenue,Northeast Hospital,3112,2007,Community High Public Payer Hospital,FY17,18478632
Non-Operating Revenue,Northeast Hospital,3112,2007,Community High Public Payer Hospital,FY18,6319409
Non-Operating Revenue,Quincy Medical Center,112,2151,Community High Public Payer Hospital,FY14,1000
Non-Operating Revenue,Saint Vincent Hospital,127,2128,Teaching Hospital,FY14,0
Non-Operating Revenue,Saint Vincent Hospital,127,2128,Teaching Hospital,FY15,93577
Non-Operating Revenue,Saint Vincent Hospital,127,2128,Teaching Hospital,FY16,839960
Non-Operating Revenue,Saint Vincent Hospital,127,2128,Teaching Hospital,FY17,93705
Non-Operating Revenue,Saint Vincent Hospital,127,2128,Teaching Hospital,FY18,-352181
Non-Operating Revenue,Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,FY14,1478000
Non-Operating Revenue,Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,FY15,1322881
Non-Operating Revenue,Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,FY16,0
Non-Operating Revenue,Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,FY17,0
Non-Operating Revenue,Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,FY18,0
Non-Operating Revenue,Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,FY14,1597000
Non-Operating Revenue,Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,FY15,1549268
Non-Operating Revenue,Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,FY16,0
Non-Operating Revenue,Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,FY17,0
Non-Operating Revenue,Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,FY18,0
Non-Operating Revenue,Signature Healthcare Brockton Hospital,25,2118,Community High Public Payer Hospital,FY14,8105779
Non-Operating Revenue,Signature Healthcare Brockton Hospital,25,2118,Community High Public Payer Hospital,FY15,210624
Non-Operating Revenue,Signature Healthcare Brockton Hospital,25,2118,Community High Public Payer Hospital,FY16,2666117
Non-Operating Revenue,Signature Healthcare Brockton Hospital,25,2118,Community High Public Payer Hospital,FY17,2286104
Non-Operating Revenue,Signature Healthcare Brockton Hospital,25,2118,Community High Public Payer Hospital,FY18,9272121
Non-Operating Revenue,South Shore Hospital,122,2107,Community Hospital,FY14,-240615
Non-Operating Revenue,South Shore Hospital,122,2107,Community Hospital,FY15,27753372
Non-Operating Revenue,South Shore Hospital,122,2107,Community Hospital,FY16,-3188838
Non-Operating Revenue,South Shore Hospital,122,2107,Community Hospital,FY17,7782700
Non-Operating Revenue,South Shore Hospital,122,2107,Community Hospital,FY18,1480834
Non-Operating Revenue,Southcoast Hospital Group,3113,2010,Community High Public Payer Hospital,FY14,15439347
Non-Operating Revenue,Southcoast Hospital Group,3113,2010,Community High Public Payer Hospital,FY15,25352205
Non-Operating Revenue,Southcoast Hospital Group,3113,2010,Community High Public Payer Hospital,FY16,13802974
Non-Operating Revenue,Southcoast Hospital Group,3113,2010,Community High Public Payer Hospital,FY17,13888006
Non-Operating Revenue,Southcoast Hospital Group,3113,2010,Community High Public Payer Hospital,FY18,21266150
Non-Operating Revenue,Steward Carney Hospital,42,2003,Teaching Hospital,FY14,-1192
Non-Operating Revenue,Steward Carney Hospital,42,2003,Teaching Hospital,FY15,0
Non-Operating Revenue,Steward Carney Hospital,42,2003,Teaching Hospital,FY16,0
Non-Operating Revenue,Steward Carney Hospital,42,2003,Teaching Hospital,FY17,5604
Non-Operating Revenue,Steward Carney Hospital,42,2003,Teaching Hospital,FY18,2313532
Non-Operating Revenue,Steward Good Samaritan Medical Center,8701,2101,Community High Public Payer Hospital,FY14,134733
Non-Operating Revenue,Steward Good Samaritan Medical Center,8701,2101,Community High Public Payer Hospital,FY15,180245
Non-Operating Revenue,Steward Good Samaritan Medical Center,8701,2101,Community High Public Payer Hospital,FY16,195861
Non-Operating Revenue,Steward Good Samaritan Medical Center,8701,2101,Community High Public Payer Hospital,FY17,226296
Non-Operating Revenue,Steward Good Samaritan Medical Center,8701,2101,Community High Public Payer Hospital,FY18,637465
Non-Operating Revenue,Steward Holy Family Hospital,75,2225,Community High Public Payer Hospital,FY14,-89551
Non-Operating Revenue,Steward Holy Family Hospital,75,2225,Community High Public Payer Hospital,FY15,0
Non-Operating Revenue,Steward Holy Family Hospital,75,2225,Community High Public Payer Hospital,FY16,4451
Non-Operating Revenue,Steward Holy Family Hospital,75,2225,Community High Public Payer Hospital,FY17,2000
Non-Operating Revenue,Steward Holy Family Hospital,75,2225,Community High Public Payer Hospital,FY18,2076289
Non-Operating Revenue,Steward Norwood Hospital,41,2114,Community High Public Payer Hospital,FY14,65487
Non-Operating Revenue,Steward Norwood Hospital,41,2114,Community High Public Payer Hospital,FY15,72297
Non-Operating Revenue,Steward Norwood Hospital,41,2114,Community High Public Payer Hospital,FY16,106903
Non-Operating Revenue,Steward Norwood Hospital,41,2114,Community High Public Payer Hospital,FY17,81109
Non-Operating Revenue,Steward Norwood Hospital,41,2114,Community High Public Payer Hospital,FY18,1704683
Non-Operating Revenue,Steward Saint Anne's Hospital,114,2011,Community High Public Payer Hospital,FY14,144227
Non-Operating Revenue,Steward Saint Anne's Hospital,114,2011,Community High Public Payer Hospital,FY15,258336
Non-Operating Revenue,Steward Saint Anne's Hospital,114,2011,Community High Public Payer Hospital,FY16,205028
Non-Operating Revenue,Steward Saint Anne's Hospital,114,2011,Community High Public Payer Hospital,FY17,326338
Non-Operating Revenue,Steward Saint Anne's Hospital,114,2011,Community High Public Payer Hospital,FY18,708032
Non-Operating Revenue,Steward St. Elizabeth's Medical Center,126,2085,Teaching Hospital,FY14,372886
Non-Operating Revenue,Steward St. Elizabeth's Medical Center,126,2085,Teaching Hospital,FY15,52467
Non-Operating Revenue,Steward St. Elizabeth's Medical Center,126,2085,Teaching Hospital,FY16,18142
Non-Operating Revenue,Steward St. Elizabeth's Medical Center,126,2085,Teaching Hospital,FY17,-418929
Non-Operating Revenue,Steward St. Elizabeth's Medical Center,126,2085,Teaching Hospital,FY18,955020
Non-Operating Revenue,Sturdy Memorial Hospital,129,2100,Community High Public Payer Hospital,FY14,15915426
Non-Operating Revenue,Sturdy Memorial Hospital,129,2100,Community High Public Payer Hospital,FY15,7146056
Non-Operating Revenue,Sturdy Memorial Hospital,129,2100,Community High Public Payer Hospital,FY16,7745562
Non-Operating Revenue,Sturdy Memorial Hospital,129,2100,Community High Public Payer Hospital,FY17,10317683
Non-Operating Revenue,Sturdy Memorial Hospital,129,2100,Community High Public Payer Hospital,FY18,11701354
Non-Operating Revenue,Tufts Medical Center,104,2299,Academic Medical Center,FY14,15237000
Non-Operating Revenue,Tufts Medical Center,104,2299,Academic Medical Center,FY15,-3159000
Non-Operating Revenue,Tufts Medical Center,104,2299,Academic Medical Center,FY16,13050000
Non-Operating Revenue,Tufts Medical Center,104,2299,Academic Medical Center,FY17,-1873000
Non-Operating Revenue,Tufts Medical Center,104,2299,Academic Medical Center,FY18,13208000
Non-Operating Revenue,UMass Memorial Medical Center,3115,2841,Academic Medical Center,FY14,2519000
Non-Operating Revenue,UMass Memorial Medical Center,3115,2841,Academic Medical Center,FY15,17073000
Non-Operating Revenue,UMass Memorial Medical Center,3115,2841,Academic Medical Center,FY16,10674000
Non-Operating Revenue,UMass Memorial Medical Center,3115,2841,Academic Medical Center,FY17,16301000
Non-Operating Revenue,UMass Memorial Medical Center,3115,2841,Academic Medical Center,FY18,9474000
Non-Operating Revenue,Winchester Hospital,138,2094,Community Hospital,FY14,4684383
Non-Operating Revenue,Winchester Hospital,138,2094,Community Hospital,FY15,42697665
Non-Operating Revenue,Winchester Hospital,138,2094,Community Hospital,FY16,19878169
Non-Operating Revenue,Winchester Hospital,138,2094,Community Hospital,FY17,20326565
Non-Operating Revenue,Winchester Hospital,138,2094,Community Hospital,FY18,5529397
Total Expenses,Anna Jaques Hospital,1,2006,Community Hospital,FY14,111945278
Total Expenses,Anna Jaques Hospital,1,2006,Community Hospital,FY15,114872374
Total Expenses,Anna Jaques Hospital,1,2006,Community Hospital,FY16,123011186
Total Expenses,Anna Jaques Hospital,1,2006,Community Hospital,FY17,128663566
Total Expenses,Anna Jaques Hospital,1,2006,Community Hospital,FY18,132391240
Total Expenses,Athol Hospital,2,2226,Community High Public Payer Hospital,FY14,21425180
Total Expenses,Athol Hospital,2,2226,Community High Public Payer Hospital,FY15,23411251
Total Expenses,Athol Hospital,2,2226,Community High Public Payer Hospital,FY16,23021253
Total Expenses,Athol Hospital,2,2226,Community High Public Payer Hospital,FY17,25104965
Total Expenses,Athol Hospital,2,2226,Community High Public Payer Hospital,FY18,25820385
Total Expenses,Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,FY14,82007000
Total Expenses,Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,FY15,88641000
Total Expenses,Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,FY16,96363000
Total Expenses,Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,FY17,99806000
Total Expenses,Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,FY18,102252000
Total Expenses,Baystate Medical Center,4,2339,Teaching Hospital,FY14,984284000
Total Expenses,Baystate Medical Center,4,2339,Teaching Hospital,FY15,1076232000
Total Expenses,Baystate Medical Center,4,2339,Teaching Hospital,FY16,1120673000
Total Expenses,Baystate Medical Center,4,2339,Teaching Hospital,FY17,1160389000
Total Expenses,Baystate Medical Center,4,2339,Teaching Hospital,FY18,1209668000
Total Expenses,Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,FY14,55885263
Total Expenses,Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,FY15,58149919
Total Expenses,Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,FY16,57897921
Total Expenses,Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,FY17,56991605
Total Expenses,Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,FY18,57201000
Total Expenses,Baystate Mary Lane Hospital,6,21448,Community High Public Payer Hospital,FY14,27798000
Total Expenses,Baystate Mary Lane Hospital,6,21448,Community High Public Payer Hospital,FY15,28152000
Total Expenses,Baystate Mary Lane Hospital,6,21448,Community High Public Payer Hospital,FY16,23654000
Total Expenses,Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,FY14,86255000
Total Expenses,Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,FY15,79684000
Total Expenses,Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,FY16,82560000
